productID,partname,partdescription,quantity,defective
0,7400,QUAD 2-INPUT AND GATES,83,0
0,7401,QUADRAPLE 2-INPUT POSITIVE NAND GATES WITH OPEN COLLECTOR OUTPUTS,78,0
0,7402,QUAD 2-INPUT NOR GATES,42,0
0,7403,QUAD 2-INPUT NAND GATES WITH OPEN COLLECTOR OUPUTS,81,0
0,7404,HEX INVERTER NOT GATES,60,0
0,7406,HEX INVERTER BUFFERS/DRIVERS WITH OPEN-COLLECTOR HIGH-VOLTAGE OUTPUTS,18,0
0,7408,QUAD 2-INPUT AND GATES,78,0
0,7410,TRIPLE 3-INPUT NAND GATES,78,0
0,7414,HEX INVERTERS WITH SCHMITT TRIGGER,25,0
0,7420,DUAL 4-INPUT NAND GATES,60,0
0,7432,QUAD 2-INPUT OR GATES,48,0
0,7442,BCD/DECIMAL DECODERS,78,0
0,7447,BCD TO 7-SEGMENT DECODER/DRIVER (LOW=ON),69,0
0,7448,BCD TO 7-SEGMENT DECODER/DRIVER,65,0
0,7474,DUAL POSITIVE-EDGE-TRIGGERED D FLIP-FLOPS WITH PRESET CLEAR AND COMPLEMENTARY OUTPUTS,75,0
0,7475,4-BIT BISTABLE LATCHES,85,0
0,7476,DUAL JK LEVEL-TRIGGERED FLIP-FLOP (WITH PRESET AND PRECLEAR),55,0
0,7483,4-BIT BINARY ADDRESS WITH FAST CARRY,57,0
0,7485,4-BIT MAGNITUDE COMPARATORS,105,0
0,7486,QUAD 2-INPUT EXCLUSIVE-OR GATES,36,0
0,7490,DECADE AND BINARY COUNTERS,119,0
0,7492,DIVIDE-BY-TWELVE AND BINARY COUNTERS,104,0
0,7493,DECADE AND BINARY COUNTERS,74,0
0,7495,4-BIT SHIFT REGISTER,85,0
0,74122,RETRIGGERABLE ONE-SHOT WITH CLEAR AND COMPLEMENTARY OUTPUTS,55,0
0,74125,QUAD TRI-STATE BUFFERS,38,0
0,74126,QUAD TRI-STATE BUFFERS,30,0
0,74138,DECODERS/DEMULTIPLEXERS,95,0
0,74139,DECODERS/DEMULTIPLEXERS,62,0
0,74147,10-LINE TO 4-LINE AND 8-LINE TO 3-LINE PRIORITY ENCODERS,67,0
0,74151,DATA SELECTOR/MULTIPLEXERS,78,0
0,74153,DUAL 4-LINE TO 1-LINE DATA SELECTOR/MULTIPLEXER,77,0
0,74154,4-LINE TO 16-LINE DECODERS/DEMULTIPLEXERS,81,0
0,74155,DUAL 2-LINE TO 4-LINE DECODERS/DEMULTIPLEXERS,80,0
0,74157,QUAD 2-LINE TO 1-LINE DATA SELECTORS/MULTIPLEXERS,79,0
0,74158,QUAD 2-LINE TO 1-LINE DATA SELECTORS/MULTIPLEXERS,71,0
0,74164,8-BIT SERIAL IN/PARALLEL OUT SHIFT REGISTERS,65,0
0,74174,HEX/QUAD D FLIP-FLOP WITH CLEAR,37,0
0,74175,HEX/QUAD D FLIP-FLOP WITH CLEAR,25,0
0,74191,SYNCHRONOUS 4-BIT UP/DOWN COUNTERS WITH MODE CONTROL,78,0
0,74192,SYNCHRONOUS 4-BIT UP/DOWN COUNTERS (DUAL CLOCK WITH CLEAR),44,0
0,74193,SYNCHRONOUS 4-BIT UP/DOWN COUNTERS WITH DUAL CLOCK WITH CLEAR,108,0
0,74194,4-BIT BIDIRECTIONAL UNIVERSAL SHIFT REGISTER,24,0
0,74221,DUAL NON-RETRIGGERABLE ONE-SHOT WITH CLEAR AND COMPLIMENTARY OUTPUTS/SCHMITT TRIGGER,30,0
0,74240,OCTAL TRI-STATE BUFFERS / LINE DRIVERS / LINE RECEIVERS,2,0
0,74241,12 AND 14-BIT HYBRID SYNCHRO/RESOLVER-TO-DIGITAL,50,0
0,74242,QUADRAPLE BUS TRANSCEIVERS,7,0
0,74243,QUADRAPLE BUS TRANSCEIVERS,11,0
0,74244,OCTAL TRI-STATE BUFFERS / LINE DRIVERS / LINE RECEIVERS,32,0
0,74245,3-STATE OCTAL BUS TRANSCEIVER,49,0
0,74259,8-BIT ADDRESSABLE LATCHES,38,0
0,74279,QUAD S-R LATCHES,31,0
0,74367,HEX BUS DRIVERS WITH 3-STATE OUTPUTS,4,0
